,user,attacktype,attacker,sensors,nfeatures,solver,cval,penalty,far,frr,hter,refhter
112570,User42,dict-effort,I4_slength_long,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112571,User42,dict-effort,I4_slength_normal,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112572,User42,dict-effort,I4_slength_short,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.875,0.13725490196078433,0.5061274509803921,0.1613547237076649
112573,User42,dict-effort,I4_speed1_6,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.95,0.13725490196078433,0.5436274509803921,0.1613547237076649
112574,User42,dict-effort,I4_speed1_8,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112575,User42,dict-effort,I4_speed2_0,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112576,User42,dict-effort,I4_speed2_2,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112577,User42,dict-effort,I4_speed2_4,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112578,User42,dict-effort,I4_speed2_6,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112579,User42,dict-effort,I4_speed2_8,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.8125,0.13725490196078433,0.47487745098039214,0.1613547237076649
112580,User42,dict-effort,I4_swidth_close,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.9444444444444444,0.13725490196078433,0.5408496732026143,0.1613547237076649
112581,User42,dict-effort,I4_swidth_normal,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112582,User42,dict-effort,I4_swidth_wide,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112583,User42,dict-effort,I4_tlift_back,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112584,User42,dict-effort,I4_tlift_front,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112585,User42,dict-effort,I4_tlift_normal,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112586,User42,dict-effort,I5_slength_long,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
