,user,attacktype,attacker,sensors,nfeatures,hlayers,activation,solver,alpha,learning_rate,far,frr,hter,refhter
137803,User52,dict-effort,I3_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137804,User52,dict-effort,I3_swidth_wider,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.045454545454545456,0.05063291139240506,0.04804372842347526,0.05077100115074799
137805,User52,dict-effort,I3_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05263157894736842,0.05063291139240506,0.05163224516988674,0.05077100115074799
137806,User52,dict-effort,I3_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137807,User52,dict-effort,I3_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137808,User52,dict-effort,I3_tlift_up,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137809,User52,dict-effort,I4_slength_long,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137810,User52,dict-effort,I4_slength_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137811,User52,dict-effort,I4_slength_short,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137812,User52,dict-effort,I4_speed1_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137813,User52,dict-effort,I4_speed1_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137814,User52,dict-effort,I4_speed2_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137815,User52,dict-effort,I4_speed2_2,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137816,User52,dict-effort,I4_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137817,User52,dict-effort,I4_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137818,User52,dict-effort,I4_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137819,User52,dict-effort,I4_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137820,User52,dict-effort,I4_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137821,User52,dict-effort,I4_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137822,User52,dict-effort,I4_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137823,User52,dict-effort,I4_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137824,User52,dict-effort,I4_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137825,User52,dict-effort,I5_slength_long,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.19230769230769232,0.05063291139240506,0.12147030185004869,0.05077100115074799
137826,User52,dict-effort,I5_slength_longer,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137827,User52,dict-effort,I5_slength_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137828,User52,dict-effort,I5_slength_short,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137829,User52,dict-effort,I5_speed1_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.047619047619047616,0.05063291139240506,0.049125979505726336,0.05077100115074799
137830,User52,dict-effort,I5_speed1_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.21052631578947367,0.05063291139240506,0.13057961359093936,0.05077100115074799
137831,User52,dict-effort,I5_speed1_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137832,User52,dict-effort,I5_speed2_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137833,User52,dict-effort,I5_speed2_2,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137834,User52,dict-effort,I5_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137835,User52,dict-effort,I5_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137836,User52,dict-effort,I5_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.058823529411764705,0.05063291139240506,0.05472822040208489,0.05077100115074799
137837,User52,dict-effort,I5_speed3_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137838,User52,dict-effort,I5_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.3,0.05063291139240506,0.17531645569620252,0.05077100115074799
137839,User52,dict-effort,I5_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137840,User52,dict-effort,I5_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137841,User52,dict-effort,I5_swidth_wider,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137842,User52,dict-effort,I5_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137843,User52,dict-effort,I5_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137844,User52,dict-effort,I5_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137845,User52,dict-effort,I5_tlift_up,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137846,User52,dict-effort,I6_slength_long,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137847,User52,dict-effort,I6_slength_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137848,User52,dict-effort,I6_slength_short,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137849,User52,dict-effort,I6_speed1_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05555555555555555,0.05063291139240506,0.053094233473980304,0.05077100115074799
137850,User52,dict-effort,I6_speed1_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137851,User52,dict-effort,I6_speed2_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137852,User52,dict-effort,I6_speed2_2,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.058823529411764705,0.05063291139240506,0.05472822040208489,0.05077100115074799
137853,User52,dict-effort,I6_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.06666666666666667,0.05063291139240506,0.05864978902953587,0.05077100115074799
137854,User52,dict-effort,I6_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137855,User52,dict-effort,I6_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137856,User52,dict-effort,I6_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.125,0.05063291139240506,0.08781645569620253,0.05077100115074799
137857,User52,dict-effort,I6_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
